"district","pop15pl","pop15to49","prev_survey","prev_survey_se","nsamp","npos","nrecent","adultart","anc_clients","ancrt_n","ancrt_pos","ancrt_art"
"Chitipa",137293,115521,0.0330146369938416,0.0137096270271001,218,7,1,3923,7855,6896,365,87
"Karonga",207477,175086,0.102218218298839,0.0208590690486093,322,33,0,9619,11415,11069,703,356
"Rumphi",132676,112544,0.0644763308583246,0.0142261792823708,209,13,0,6174,7821,7665,335,187
"Nkhata Bay",162513,134329,0.0654520756303151,0.0125577712764737,247,16,0,6844,7502,7330,426,205
"Mzimba",688953,580443,0.0361753637395245,0.00799675506578163,1045,38,1,28163,38479,35136,1611,733
"Likoma",8014,6672,0.0758181179236672,0.0114554890481727,14,1,0,437,272,261,17,7
"Nkhotakota",224477,190938,0.0741432059358441,0.0157171001070831,332,25,0,8527,16768,15211,723,358
"Kasungu",462221,396666,0.0425067110689117,0.0102714028414235,764,32,0,11609,26346,23557,787,285
"Ntchisi",170109,142849,0.0471865226914245,0.0109889333830188,229,11,1,3447,10500,9913,305,115
"Dowa",435791,366865,0.0368478562202517,0.00841750835570711,674,25,1,9329,20161,18250,470,216
"Mchinji",352416,302294,0.0525646079946956,0.00857815980959924,596,31,0,10928,22287,21269,878,437
"Salima",254832,215266,0.0312914390567232,0.00777561587602279,351,11,0,10950,15247,14506,803,412
"Lilongwe",1558657,1357892,0.072683169525607,0.0128617753004021,2462,179,3,70513,81442,78862,4798,2230
"Dedza",457077,376879,0.0332197181209943,0.012175674791072,712,24,0,12248,32019,30901,1095,459
"Ntcheu",347768,282267,0.0816510472492783,0.0152204263749638,531,43,0,16874,20897,18474,1349,735
"Mangochi",572807,475728,0.104888876289179,0.0161373234495293,811,85,2,30973,46797,41992,3706,1677
"Machinga",352183,292909,0.0636442625365431,0.0121682100244779,529,34,0,20137,32109,28399,2104,1058
"Balaka",224408,183462,0.0913759889357045,0.016368636856628,335,31,0,14923,16401,16039,1545,744
"Zomba",479878,401260,0.135909640130291,0.0144606203224846,769,105,1,36954,31995,28687,3158,1675
"Neno",83106,69744,0.109998963913759,0.0207639252204935,131,14,0,6508,5491,5377,472,363
"Mwanza",74758,63997,0.0773471427523794,0.0161995131705821,114,9,1,4144,7071,6433,461,246
"Blantyre",787841,701960,0.181767583363979,0.0221725421650901,1271,231,4,61512,38439,35154,4495,1949
"Phalombe",229836,190925,0.163142520074026,0.0279640158717332,376,61,0,21661,17535,16302,2131,1255
"Chiradzulu",209140,169920,0.0944374583933111,0.0174822280226926,317,30,1,31610,11496,11122,1738,1064
"Mulanje",368974,302867,0.209262312006042,0.0186382217492245,541,113,2,34494,25209,22680,3064,1488
"Thyolo",429811,357017,0.122265477777561,0.0199556779827451,601,73,0,39781,22415,21174,2694,1194
"Chikwawa",306581,258521,0.0771735000314844,0.0132076146196017,478,37,0,18543,19558,17923,1713,897
"Nsanje",165677,135345,0.115363294085442,0.0187987100022598,276,32,0,14494,15759,15009,1503,809
